Tiempo[ms],Ax,Ay,Az,Gx,Gy,Gz,Clase
11025,-4.259,-12.691,10.359,-120.226,-250.813,-84.911,Clase 3
11130,4.945,0.841,-4.775,44.865,238.011,-16.835,Clase 3
11235,-0.519,-1.18,-2.154,-40.142,-250.813,-208.117,Clase 3
11340,4.126,4.31,-8.362,-4.272,249.454,68.998,Clase 3
11446,1.047,0.434,-0.286,-1.638,-207.508,-168.857,Clase 3
11550,4.583,7.078,-12.396,0.415,249.454,59.12,Clase 3
11656,-3.105,1.277,4.395,-34.784,-237.439,-127.85,Clase 3
11761,3.745,19.578,-7.811,-104.31,66.98,-104.468,Clase 3
11866,-4.132,-19.648,15.37,-93.623,-70.905,-248.69,Clase 3
11971,2.948,19.578,-7.394,-38.242,182.4,37.028,Clase 3
12077,-4.148,-19.488,17.295,-55.219,-82.134,-248.69,Clase 3
12181,-1.139,12.975,5.043,-33.425,231.813,72.967,Clase 3
12286,-6.756,-19.648,10.825,7.216,-246.829,-203.911,Clase 3
12392,-8.937,13.552,15.99,-4.829,249.454,3.165,Clase 3
12496,-6.634,-19.648,19.145,-56.761,-250.813,-248.69,Clase 3
12602,-11.24,19.578,14.175,-40.562,249.454,43.28,Clase 3
12707,-7.565,-18.787,19.145,-16.921,-180.226,-248.69,Clase 3
12813,-5.824,19.578,1.658,-7.837,249.454,27.31,Clase 3
12917,-5.202,-19.648,12.504,-74.944,-194.882,45.646,Clase 3
13023,0.863,9.123,-7.361,-6.89,249.454,-118.094,Clase 3
13128,-6.674,0.073,19.145,30.949,-172.775,251.578,Clase 3
13234,5.898,13.341,-20.081,-93.707,143.003,-209.048,Clase 3
13338,-12.14,2.048,19.145,96.239,-250.813,251.578,Clase 3
13444,7.052,16.186,-20.081,-87.448,249.454,-5.216,Clase 3
13549,-6.095,-17.676,-2.362,-15.814,-250.813,251.578,Clase 3
13655,1.938,8.256,-17.776,-16.73,249.454,-48.544,Clase 3
13759,-4.888,-14.965,-0.176,-63.15,-250.813,214.31,Clase 3
13864,4.174,10.176,-18.18,-81.478,170.522,-158.56,Clase 3
13970,-13.072,2.081,19.145,-78.89,-250.813,251.578,Clase 3
14075,5.007,12.592,-20.081,-103.013,129.759,-132.995,Clase 3
14180,-14.707,3.4,19.145,-135.539,-250.813,251.578,Clase 3
14285,4.102,7.583,-20.081,-111.722,34.751,-126.804,Clase 3
14391,-18.681,9.585,19.145,-102.234,-250.813,251.578,Clase 3
14496,-2.966,5.385,-20.081,-203.814,-250.813,-228.59,Clase 3
14602,-18.241,15.925,19.145,16.186,20.011,251.578,Clase 3
14706,0.705,10.31,-4.517,-103.913,-250.813,-235.972,Clase 3
14812,-9.14,12.953,19.145,35.858,249.454,169.7,Clase 3
14917,-5.992,-19.648,-1.148,-154.173,-250.813,-245.102,Clase 3
15023,-5.302,5.366,6.111,37.354,249.454,-82.873,Clase 3
15127,-0.042,-14.582,5.13,130.262,-146.607,115.28,Clase 3
15233,1.574,5.215,-10.837,53.881,212.79,36.288,Clase 3
15338,-1.802,-5.913,-0.968,-74.226,-189.31,180.539,Clase 3
15442,-2.956,-1.017,13.979,-88.013,-12.905,5.509,Clase 3
15548,1.229,3.764,5.005,-248.7,-95.081,-80.483,Clase 3
15653,4.847,-2.985,-4.308,-54.119,168.851,7.685,Clase 3
15758,-0.54,-3.26,9.825,-80.264,-15.47,-6.27,Clase 3
15863,0.219,-4.419,8.307,3.453,3.95,-8.59,Clase 3
15968,-0.315,-4.156,8.972,-2.547,-0.653,-0.827,Clase 3
16073,-0.263,-4.35,8.769,8.835,0.698,1.555,Clase 3
16178,-0.327,-4.139,8.972,-0.463,-0.134,0.02,Clase 3
16283,-0.277,-4.247,8.788,3.636,0.225,0.669,Clase 1
16388,-0.296,-4.033,8.989,2.285,0.087,0.066,Clase 1
16493,-0.291,-4.153,8.92,3.682,0.332,0.738,Clase 1
16598,-0.311,-4.055,9.078,3.835,0.278,0.914,Clase 1
16702,-0.311,-4.017,8.929,1.194,-0.165,0.036,Clase 1
16807,-0.311,-4.019,9.025,1.377,0.179,0.379,Clase 1
16912,-0.406,-4.01,9.075,1.453,0.118,0.265,Clase 1
17017,-0.263,-3.969,9.02,1.621,0.217,0.227,Clase 1
17122,-0.351,-3.943,8.991,1.133,-0.088,0.219,Clase 1
17227,-0.287,-3.907,8.956,1.43,0.095,0.227,Clase 1
17332,-0.193,-3.938,9.011,1.148,0.156,0.364,Clase 1
17437,-0.334,-3.902,8.994,1.133,0.064,0.165,Clase 1
17542,-0.318,-3.892,9.013,1.186,-0.004,0.28,Clase 1
17646,-0.311,-3.88,9.018,1.163,0.24,0.181,Clase 1
